統編,分類,子分類,項目,來自公司報告,單位,年份,數值
16130330,G,營運狀況,營業收入,,仟元,2020,5614539
16130330,G,營運狀況,營業成本,,仟元,2020,2987604
16130330,G,營運狀況,營業費用,,仟元,2020,1470272
16130330,G,營運狀況,淨利,,仟元,2020,1048117
16082267,G,營運狀況,營業收入,,仟元,2020,76180649
16082267,G,營運狀況,營業成本,,仟元,2020,61152021
16082267,G,營運狀況,營業費用,,仟元,2020,4310458
16082267,G,營運狀況,淨利,,仟元,2020,8178977
16505809,G,營運狀況,營業收入,,仟元,2020,636513
16505809,G,營運狀況,營業成本,,仟元,2020,490593
16505809,G,營運狀況,營業費用,,仟元,2020,171492
16505809,G,營運狀況,淨利,,仟元,2020,-61358
23218022,G,營運狀況,營業收入,,仟元,2020,12428549
23218022,G,營運狀況,營業成本,,仟元,2020,8819196
23218022,G,營運狀況,營業費用,,仟元,2020,1270608
23218022,G,營運狀況,淨利,,仟元,2020,1926589
04226986,G,營運狀況,營業收入,,仟元,2020,10178002
04226986,G,營運狀況,營業成本,,仟元,2020,7282206
04226986,G,營運狀況,營業費用,,仟元,2020,890349
04226986,G,營運狀況,淨利,,仟元,2020,1450675
02906023,G,營運狀況,營業收入,,仟元,2020,13876445
02906023,G,營運狀況,營業成本,,仟元,2020,7204323
02906023,G,營運狀況,營業費用,,仟元,2020,3613711
02906023,G,營運狀況,淨利,,仟元,2020,3241795
12894399,G,營運狀況,營業收入,,仟元,2020,128364
12894399,G,營運狀況,營業成本,,仟元,2020,846
12894399,G,營運狀況,營業費用,,仟元,2020,110558
12894399,G,營運狀況,淨利,,仟元,2020,15765
38649225,G,營運狀況,營業收入,,仟元,2020,4849689
38649225,G,營運狀況,營業成本,,仟元,2020,3269332
38649225,G,營運狀況,營業費用,,仟元,2020,618751
38649225,G,營運狀況,淨利,,仟元,2020,719556
13145774,G,營運狀況,營業收入,,仟元,2020,2909821
13145774,G,營運狀況,營業成本,,仟元,2020,1743140
13145774,G,營運狀況,營業費用,,仟元,2020,498843
