統編,分類,子分類,項目,來自公司報告,單位,年份,數值
85617982,G,營運狀況,淨利,,仟元,2020,65636
34106066,G,營運狀況,營業收入,,仟元,2020,1637280
34106066,G,營運狀況,營業成本,,仟元,2020,1168904
34106066,G,營運狀況,營業費用,,仟元,2020,479868
34106066,G,營運狀況,淨利,,仟元,2020,180
03794905,G,營運狀況,營業收入,,仟元,2020,25435173
03794905,G,營運狀況,營業成本,,仟元,2020,19825005
03794905,G,營運狀況,營業費用,,仟元,2020,4130895
03794905,G,營運狀況,淨利,,仟元,2020,4567149
15319335,G,營運狀況,營業收入,,仟元,2020,2731492
15319335,G,營運狀況,營業成本,,仟元,2020,1521200
15319335,G,營運狀況,營業費用,,仟元,2020,1372629
15319335,G,營運狀況,淨利,,仟元,2020,5528
89480404,G,營運狀況,營業收入,,仟元,2020,7172390
89480404,G,營運狀況,營業成本,,仟元,2020,6901391
89480404,G,營運狀況,營業費用,,仟元,2020,122528
89480404,G,營運狀況,淨利,,仟元,2020,118982
37759808,G,營運狀況,營業收入,,仟元,2020,3479683
37759808,G,營運狀況,營業成本,,仟元,2020,1880717
37759808,G,營運狀況,營業費用,,仟元,2020,608960
37759808,G,營運狀況,淨利,,仟元,2020,776806
12467902,G,營運狀況,營業收入,,仟元,2020,3763902
12467902,G,營運狀況,營業成本,,仟元,2020,3267390
12467902,G,營運狀況,營業費用,,仟元,2020,338444
12467902,G,營運狀況,淨利,,仟元,2020,128923
84478111,G,營運狀況,營業收入,,仟元,2020,67637
84478111,G,營運狀況,營業成本,,仟元,2020,25744
84478111,G,營運狀況,營業費用,,仟元,2020,38141
84478111,G,營運狀況,淨利,,仟元,2020,4474
89955491,G,營運狀況,營業收入,,仟元,2020,425957
89955491,G,營運狀況,營業成本,,仟元,2020,237684
89955491,G,營運狀況,營業費用,,仟元,2020,142809
89955491,G,營運狀況,淨利,,仟元,2020,43293
07305506,G,營運狀況,營業收入,,仟元,2020,17621763
07305506,G,營運狀況,營業成本,,仟元,2020,11682430
07305506,G,營運狀況,營業費用,,仟元,2020,4261588
07305506,G,營運狀況,淨利,,仟元,2020,995601
89397503,G,營運狀況,營業收入,,仟元,2020,3130347
89397503,G,營運狀況,營業成本,,仟元,2020,1822755
89397503,G,營運狀況,營業費用,,仟元,2020,844271
89397503,G,營運狀況,淨利,,仟元,2020,374589
11347802,G,營運狀況,營業收入,,仟元,2019,20228119
11347802,G,營運狀況,營業成本,,仟元,2019,14105933
11347802,G,營運狀況,營業費用,,仟元,2019,5577580
11347802,G,營運狀況,淨利,,仟元,2019,1350879
07067309,G,營運狀況,營業收入,,仟元,2019,6323237
07067309,G,營運狀況,營業成本,,仟元,2019,4343282
07067309,G,營運狀況,營業費用,,仟元,2019,1056425
07067309,G,營運狀況,淨利,,仟元,2019,717479
73008303,G,營運狀況,營業收入,,仟元,2019,77769986
73008303,G,營運狀況,營業成本,,仟元,2019,66038732
73008303,G,營運狀況,營業費用,,仟元,2019,8010040
73008303,G,營運狀況,淨利,,仟元,2019,2974027
35012903,G,營運狀況,營業收入,,仟元,2019,435368
35012903,G,營運狀況,營業成本,,仟元,2019,408362
35012903,G,營運狀況,營業費用,,仟元,2019,64245
35012903,G,營運狀況,淨利,,仟元,2019,-43093
36514783,G,營運狀況,營業收入,,仟元,2019,21173634
36514783,G,營運狀況,營業成本,,仟元,2019,18151257
