year,stock_code,industry_category,nr_employee,em_salary_total,em_salary_avg,em_salary_med,eps,ind_avg_em_salary_avg,ind_avg_eps,note_a,note_b,note_c,notes
2023,1533,汽車工業,441.0,249762.0,566.0,482.0,-1.31,882.0,6.4,True,True,True,
2023,1535,電機機械,1226.0,1391041.0,1135.0,1039.0,4.5,803.0,2.29,True,True,True,
2023,1536,汽車工業,1064.0,646061.0,607.0,582.0,1.17,882.0,6.4,True,True,True,
2023,1537,電機機械,109.0,85470.0,784.0,641.0,7.43,803.0,2.29,True,True,True,公司考量年資與績效考核，分配年終獎金及依章程提撥之員工酬勞予員工，以激勵員工共同為公司目標努力。由於112年公司獲利較前一年衰退31%，致員工薪資平均數較前一年減少6.3%，公司會參考同業薪資水準做合理調整。
2023,1538,電機機械,40.0,23778.0,594.0,437.0,-0.64,803.0,2.29,True,True,True,
2023,1539,電機機械,143.0,65926.0,461.0,409.0,0.96,803.0,2.29,True,True,True,"本公司是木工機OEM其毛利偏低,與同業無法相比,但就同業公司之EPS及薪酬比率比較,本公司112年EPS為0.96與薪酬比率尚在合理範圍內。"
2023,1540,電機機械,83.0,49825.0,600.0,569.0,1.3,803.0,2.29,True,True,True,
2023,1541,電機機械,361.0,174929.0,485.0,413.0,1.46,803.0,2.29,True,True,True,1.外籍勞工佔公司人數近40%，其薪資水準低於本國勞工。2.持續受肺炎影響，客戶錯估需求及塞港大量存貨釋出，客戶為去化庫存減少下單，致銷售額下降17%及淨利下降58%，減少發放生產激勵獎金及年終獎金、員工酬勞。
2023,1558,電機機械,281.0,230784.0,821.0,739.0,3.81,803.0,2.29,True,True,True,本公司112年經營績效(EPS)較111年降低，故112年員工薪酬平均數及中位數較111年減少，係屬合理。
2023,1560,電機機械,1706.0,1380126.0,809.0,740.0,5.91,803.0,2.29,True,True,True,
2023,1565,生技醫療業,2598.0,1601157.0,616.0,569.0,10.83,749.0,0.13,True,True,True,本公司生產線人員約佔公司總人數8成，結構與大部分生技醫療產業不同，當公司獲利升降時獎金亦會進行相對之反映。因112年度之EPS比前一年減少約9元(下降幅度約46%)，故員工獎金亦進行相對之反映。
2023,1568,汽車工業,361.0,215370.0,597.0,544.0,2.67,882.0,6.4,True,True,True,112年EPS2.67含處份境外子公司EPS1.07及營運EPS1.6與111年EPS1.62相近非擔任主管職薪資平圴數111年60萬112年59.7萬差異為變動薪資加班費因出貨下修而減少112年有調升經常性薪資並無經營績效與員工薪酬不相當情況
2023,1569,電腦及週邊設備業,36.0,23693.0,658.0,621.0,-0.95,890.0,3.92,True,True,True,
2023,1570,電機機械,116.0,63373.0,546.0,416.0,0.36,695.0,2.14,True,True,True,
2023,1580,電機機械,69.0,66603.0,965.0,955.0,12.01,695.0,2.14,True,True,True,
2023,1582,電子零組件業,203.0,221457.0,1091.0,984.0,5.12,951.0,5.97,True,True,True,
2023,1583,電機機械,388.0,279661.0,721.0,672.0,6.46,803.0,2.29,True,True,True,1.外籍勞工人數約佔公司人力百分之十，其薪資水準低於本國勞工。2.此薪酬調查僅針對台灣員工，但公司轉投資及海外子公司之獲利等因素皆會影響EPS高低，亦即並非所有獲利皆由台灣總公司所創造。
2023,1584,其他,141.0,108834.0,772.0,692.0,3.01,677.0,1.82,True,True,True,
2023,1586,電機機械,201.0,105871.0,527.0,431.0,-0.67,695.0,2.14,True,True,True,
2023,1587,汽車工業,181.0,84816.0,469.0,439.0,0.61,882.0,6.4,True,True,True,1.本公司工廠位於彰化地區地處偏鄉，人才要求不易致外籍員工人數較高拉低平均薪資，造成薪資平均數表現較低。2.本公司依公司營運及獲利情況調薪幅度，112年調薪幅度約0%~5.1%。
2023,1593,運動休閒,115.0,62505.0,544.0,407.0,1.28,543.0,-0.73,True,True,True,
2023,1595,電子零組件業,60.0,42015.0,700.0,599.0,1.04,703.0,1.58,True,True,True,
2023,1597,電機機械,375.0,207376.0,553.0,459.0,1.12,803.0,2.29,True,True,True,
2023,1598,運動休閒,549.0,295198.0,538.0,471.0,-0.88,840.0,4.96,True,True,True,
2023,1599,電機機械,400.0,228826.0,572.0,519.0,-0.06,695.0,2.14,True,True,True,
2023,1603,電器電纜,600.0,348710.0,581.0,510.0,2.99,887.0,1.8,True,True,True,員工酬金組合主要包含基本固定薪資、獎金及福利，依據個人能力、對公司貢獻度、績效表現、所任職位之市場價值及考量公司未來營運風險後決定，與經營績效正相關，隨效率提高，經營績效提升，員工薪酬亦將會隨之增加。
2023,1604,電器電纜,687.0,565906.0,824.0,744.0,2.0,887.0,1.8,True,True,True,"公司EPS成長,亦有執行薪調,故員工薪資中位數亦較去年成長; 惟因組織營運需求,員工人數增加,且有新舊世代交替及人員流動率高等因素,致年度新進人員較多,導致薪資平均數較去年略減並低於同業平均。"
2023,1605,電器電纜,2877.0,3148275.0,1094.0,889.0,1.32,887.0,1.8,True,True,True,
2023,1608,電器電纜,404.0,314877.0,779.0,757.0,2.23,887.0,1.8,True,True,True,本公司112年度獲利部份來自金融商品評價利益，此部份獲利與員工績效並無顯著關聯；另EPS之計算，分母股數扣除了庫藏股數，若不扣除庫藏股數，EPS則為1.50，並未高於同業。
2023,1609,電器電纜,594.0,772145.0,1300.0,1186.0,3.91,887.0,1.8,True,True,True,員工酬金組合主要包含基本固定薪資、獎金及福利，其中獎金連結績效考核，依個人績效表現、目標達成率、貢獻之價值與營運績效給予合理報酬。
2023,1611,電器電纜,1.0,462.0,462.0,462.0,0.46,887.0,1.8,True,True,True,"本公司以上事項,已在113年調整改善"
2023,1612,電器電纜,297.0,308149.0,1038.0,932.0,1.99,887.0,1.8,True,True,True,
