"RegistrationNo","FacilityName","TaxidNo","Address","Latitude","Longitude"
"D28A4202","臺鹽實業股份有限公司",89397503,"臺南市南區健康路一段２９７號",22.9811712,120.2039161
"D28A7959","同泰壓克力行",56904423,"臺南市南區明興路６１９巷４９９弄５６號",22.9427575,120.1934978
"D3205256","生達企業股份有限公司",69766280,"臺南市安南區本原街二段１３２巷６０弄９號",23.0576232,120.186973
"D3209558","昭和特殊氣體股份有限公司台南廠",97168953,"臺南市安南區鹽田里工環路一二號、工業六路３６號",23.0365636,120.1588567
"D3209638","臺鹽實業股份有限公司生技一廠",89397503,"臺南市安南區鹽田里工環路１０號",23.0369754,120.1584272
"D3209647","臺鹽實業股份有限公司生技二廠",89397503,"臺南市安南區鹽田里工業二路２０號",23.0352991,120.158456
"D3209790","達泰科技股份有限公司",80342471,"臺南市安南區鹽田里工業二路２１號３樓",23.0356339,120.1572645
"D3209843","盈昌科技工業股份有限公司",80233234,"臺南市安南區鹽田里工業五路３０號",23.0418847,120.1399356
"D32A0997","台灣東洋先端科技股份有限公司台南廠",70815534,"臺南市安南區?田里工業三路５０號",23.0379295,120.1498452
"D32A1232","昭和特殊氣體股份有限公司台南二廠",97168953,"臺南市安南區?田里工環路３號",23.0377476,120.1571441
"D32A4385","臺鹽實業股份有限公司研發處生技工廠",89397503,"臺南市安南區?田里工環路１５號",23.036233,120.159748
"D32A4711","金台灣企業股份有限公司",89247293,"臺南市安南區安順里安和路四段３６巷７４弄２３號",23.0511198,120.2211503
"D32A6638","士峰科技股份有限公司",53390317,"臺南市安南區工業二路３１號",23.0335232,120.1584468
"D32A6668","士峰科技股份有限公司",53390317,"臺南市安南區工業二路３１號研２館４１１、７０２、７０９室",23.0335232,120.1584468
"D32A9989","亞東工業氣體股份有限公司台南廠",22522453,"臺南市安南區鹽田里工業三路３０號",23.0364827,120.1517559
"D32B1516","昭和特殊氣體股份有限公司台南廠",97168953,"臺南市安南區工業六路３６號",23.0394791,120.1378078
"D32B4500","士峰科技股份有限公司",53390317,"臺南市安南區顯宮里科技一路２０號",23.0410928,120.150684
"D32B9233","台江股份有限公司",42925546,"臺南市安南區安順里台江大道一段５９５號",23.0542417,120.2181604
"D8400126","達穎應材股份有限公司",53373437,"臺南市新營區嘉芳里嘉芳街１６８號",23.3044487,120.2861565
"D8400831","海威股份有限公司",54061762,"臺南市新營區嘉芳里新芳街１４號",23.308388,120.2828287
"D8402424","雅川實業有限公司",24901830,"臺南市新營區嘉芳里四維路７號",23.3073882,120.2805219
"D8703104","新廣銓有限公司麻豆廠",42917031,"臺南市麻豆區麻口里麻豆口３２之３７號",23.181381,120.220157
"D8801454","強新工業股份有限公司五廠",84703335,"臺南市佳里區海澄里萊竿寮１２之３５號",23.1838669,120.1788565
"D8802782","強新工業股份有限公司佳里六廠A棟",84703335,"臺南市佳里區海澄里萊竿寮１７之３２號",23.181976,120.172088
"D8803047","強新工業股份有限公司佳里六廠B棟",84703335,"臺南市佳里區海澄里萊竿寮１７之３５號",23.181976,120.172088
