公司名稱,統一編號,RegistrationNo,FacilityName
台灣中油股份有限公司石化事業部,03707901,A3500471,台灣中油股份有限公司-信義路加油站
台灣中油股份有限公司石化事業部,03707901,E5400136,台灣中油股份有限公司前鎮加油站
台灣中油股份有限公司石化事業部,03707901,K7600773,台灣中油股份有限公司探採事業部採油工程處
台灣中油股份有限公司石化事業部,03707901,H4701759,台灣中油股份有限公司煉製事業部桃園煉油廠沙崙區
台灣中油股份有限公司石化事業部,03707901,R0800021,台灣中油股份有限公司油品行銷事業部台南營業處南化加油站
台灣中油股份有限公司石化事業部,03707901,P5600061,台灣中油股份有限公司(二崙自強站)
台灣中油股份有限公司石化事業部,03707901,D2700270,台灣中油股份有限公司油品行銷事業部台南營業處中華路東加油站
台灣中油股份有限公司石化事業部,03707901,T4500055,台灣中油股份有限公司墾丁加油站
台灣中油股份有限公司石化事業部,03707901,K7500045,台灣中油股份有限公司大湖加油站
台灣中油股份有限公司石化事業部,03707901,H4500029,台灣中油股份有限公司(梅溪加油站)
台灣中油股份有限公司石化事業部,03707901,A3700855,台灣中油股份有限公司-桂林路加油站
台灣中油股份有限公司石化事業部,03707901,C1604132,台灣中油股份有限公司基隆儲運處東明路加油站
台灣中油股份有限公司石化事業部,03707901,E5306446,台灣中油股份有限公司建國一路加油站
台灣中油股份有限公司石化事業部,03707901,Q7300021,台灣中油股份有限公司-東石加油站
台灣中油股份有限公司石化事業部,03707901,R9705787,台灣中油股份有限公司油品行銷事業部台南營業處烏山頭交流道加油站
台灣中油股份有限公司石化事業部,03707901,E5414658,台灣中油股份有限公司南一路加油站
台灣中油股份有限公司石化事業部,03707901,K8400035,台灣中油股份有限公司-獅潭加油站
台灣中油股份有限公司石化事業部,03707901,A3900015,台灣中油股份有限公司-大直加油站
台灣中油股份有限公司石化事業部,03707901,F1100012,台灣中油股份有限公司汐止加油站
台灣中油股份有限公司石化事業部,03707901,E4700726,台灣中油股份有限公司南鼓山加油站
台灣中油股份有限公司石化事業部,03707901,A4100028,台灣中油股份有限公司-南港加油站
台灣中油股份有限公司石化事業部,03707901,F02B5700,"台灣中油股份有限公司-三重重新路加油站改建工程(土木,機電部分)"
台灣中油股份有限公司石化事業部,03707901,C1400045,台灣中油股份有限公司油品行銷事業部基隆營業處基隆供油服務中心
台灣中油股份有限公司石化事業部,03707901,H4809910,台灣中油股份有限公司林口工三加油站
台灣中油股份有限公司石化事業部,03707901,A4300859,台灣中油股份有限公司-社子加油站
台灣中油股份有限公司石化事業部,03707901,E56B3068,台灣中油股份有限公司興建工程處-大林石化油品儲運中心第二期地質改良統包工程
