公司名稱,公司簡稱,股票代碼,統編,上市上櫃產業別,上市上櫃產業編碼,自訂產業別
美亞鋼管廠股份有限公司,美亞,2020,44680700,鋼鐵工業,10,鋼鐵工業
聚亨企業股份有限公司,聚亨,2022,79841479,鋼鐵工業,10,鋼鐵工業
燁輝企業股份有限公司,燁輝,2023,75947936,鋼鐵工業,10,鋼鐵工業
志聯工業股份有限公司,志聯,2024,43633504,鋼鐵工業,10,鋼鐵工業
千興不銹鋼(股)公司,千興,2025,70005915,鋼鐵工業,10,鋼鐵工業
大成不銹鋼工業股份有限公司,大成鋼,2027,22318348,鋼鐵工業,10,鋼鐵工業
威致鋼鐵工業股份有限公司,威致,2028,69771636,鋼鐵工業,10,鋼鐵工業
盛餘股份有限公司,盛餘,2029,79837539,鋼鐵工業,10,鋼鐵工業
彰源企業股份有限公司,彰源,2030,60330130,鋼鐵工業,10,鋼鐵工業
新光鋼鐵股份有限公司,新光鋼,2031,35836625,鋼鐵工業,10,鋼鐵工業
新鋼工業股份有限公司,新鋼,2032,34008635,鋼鐵工業,10,鋼鐵工業
佳大世界股份有限公司,佳大,2033,72072615,鋼鐵工業,10,鋼鐵工業
允強實業股份有限公司,允強,2034,59068700,鋼鐵工業,10,鋼鐵工業
唐榮鐵工廠股份有限公司,唐榮公司,2035,75460005,鋼鐵工業,10,鋼鐵工業
海光企業股份有限公司,海光,2038,75470524,鋼鐵工業,10,鋼鐵工業
燁茂實業股份有限公司,燁茂實業,2041,76480628,鋼鐵工業,10,鋼鐵工業
中龍鋼鐵股份有限公司,中龍鋼鐵,2048,84613756,鋼鐵工業,10,鋼鐵工業
璋釔鋼鐵廠股份有限公司,璋釔鋼鐵,2056,59315006,鋼鐵工業,10,鋼鐵工業
世鎧精密股份有限公司,世鎧,2063,86637206,鋼鐵工業,10,鋼鐵工業
晉椿工業股份有限公司,晉椿,2064,30826319,鋼鐵工業,10,鋼鐵工業
世豐螺絲股份有限公司,世豐,2065,31213886,鋼鐵工業,10,鋼鐵工業
運錩鋼鐵股份有限公司,運錩,2069,22533297,鋼鐵工業,10,鋼鐵工業
震南鐵線股份有限公司,震南鐵,2071,86540792,鋼鐵工業,10,鋼鐵工業
世紀離岸風電設備股份有限公司,世紀風電,2072,69651695,鋼鐵工業,10,鋼鐵工業
雄順金屬股份有限公司,雄順,2073,24512261,鋼鐵工業,10,鋼鐵工業
長榮鋼鐵股份有限公司,長榮鋼,2211,81188829,鋼鐵工業,10,鋼鐵工業
豐達科技股份有限公司(原宏達),豐達科,3004,16095404,鋼鐵工業,10,鋼鐵工業
三星科技股份有限公司,三星,5007,68040606,鋼鐵工業,10,鋼鐵工業
榮剛材料科技股份有限公司,榮剛,5009,84252697,鋼鐵工業,10,鋼鐵工業
久陽精密股份有限公司,久陽,5011,07926511,鋼鐵工業,10,鋼鐵工業
強新工業股份有限公司,強新,5013,84703335,鋼鐵工業,10,鋼鐵工業
建錩實業股份有限公司,建錩,5014,43912787,鋼鐵工業,10,鋼鐵工業
華祺工業股份有限公司,華祺,5015,12494555,鋼鐵工業,10,鋼鐵工業
松和工業股份有限公司,松和,5016,85611896,鋼鐵工業,10,鋼鐵工業
開曼東明控股股份有限公司,東明-KY,5538,02769941,鋼鐵工業,10,鋼鐵工業
沛波鋼鐵股份有限公司,沛波,6248,38432767,鋼鐵工業,10,鋼鐵工業
恒耀國際股份有限公司,恒耀國際,8349,69916350,鋼鐵工業,10,鋼鐵工業
大成國際鋼鐵股份有限公司,大國鋼,8415,28754606,鋼鐵工業,10,鋼鐵工業
